tree_id	record_type	source	original_id	original_header
ref_bacteria_CnsA	reference	bacteria	CnsA	CnsA
ref_bacteria_LnsA	reference	bacteria	LnsA	LnsA
ref_bacteria_SCO5222	reference	bacteria	SCO5222	SCO5222
ref_bacteria_NS1	reference	bacteria	NS1	NS1
ref_bacteria_NP1	reference	bacteria	NP1	NP1
ref_bacteria_Sav76	reference	bacteria	Sav76	Sav76
ref_bacteria_SSCG_02150	reference	bacteria	SSCG_02150	SSCG_02150
ref_bacteria_SSCG_03688	reference	bacteria	SSCG_03688	SSCG_03688
ref_bacteria_SC1	reference	bacteria	SC1	SC1
ref_bacteria_SC2	reference	bacteria	SC2	SC2
ref_bacteria_GcoA	reference	bacteria	GcoA	GcoA
ref_bacteria_GecA	reference	bacteria	GecA	GecA
ref_bacteria_HcS	reference	bacteria	HcS	HcS
ref_bacteria_SdS	reference	bacteria	SdS	SdS
ref_bacteria_CorvolA_synthase	reference	bacteria	CorvolA_synthase	CorvolA_synthase
ref_bacteria_GeoA	reference	bacteria	GeoA	GeoA
ref_bacteria_SsDMS	reference	bacteria	SsDMS	SsDMS
ref_bacteria_ScDMS	reference	bacteria	ScDMS	ScDMS
ref_bacteria_CryA	reference	bacteria	CryA	CryA
ref_bacteria_CavC	reference	bacteria	CavC	CavC
ref_bacteria_MorT	reference	bacteria	MorT	MorT
ref_bacteria_NetT	reference	bacteria	NetT	NetT
ref_bacteria_EurT	reference	bacteria	EurT	EurT
ref_bacteria_ArgT	reference	bacteria	ArgT	ArgT
ref_bacteria_PtmT2	reference	bacteria	PtmT2	PtmT2
ref_bacteria_PtmT3	reference	bacteria	PtmT3	PtmT3
ref_bacteria_CotB2	reference	bacteria	CotB2	CotB2
ref_bacteria_Sclav_p0765	reference	bacteria	Sclav_p0765	Sclav_p0765
ref_bacteria_Sclav_p1169	reference	bacteria	Sclav_p1169	Sclav_p1169
ref_bacteria_Stsu_20912	reference	bacteria	Stsu_20912	Stsu_20912
ref_bacteria_Nd90_0354	reference	bacteria	Nd90_0354	Nd90_0354
ref_bacteria_Slt18_1078	reference	bacteria	Slt18_1078	Slt18_1078
ref_bacteria_AriE	reference	bacteria	AriE	AriE
ref_bacteria_TiqS	reference	bacteria	TiqS	TiqS
ref_bacteria_Cpt11	reference	bacteria	Cpt11	Cpt11
ref_bacteria_Cts11	reference	bacteria	Cts11	Cts11
ref_bacteria_VenA	reference	bacteria	VenA	VenA
ref_bacteria_AlbS	reference	bacteria	AlbS	AlbS
ref_bacteria_AriT	reference	bacteria	AriT	AriT
ref_bacteria_EuoT	reference	bacteria	EuoT	EuoT
ref_bacteria_CpDTS1	reference	bacteria	CpDTS1	CpDTS1
ref_bacteria_CpDTS2	reference	bacteria	CpDTS2	CpDTS2
ref_bacteria_AbPS1	reference	bacteria	AbPS1	AbPS1
ref_bacteria_AbPS2	reference	bacteria	AbPS2	AbPS2
ref_bacteria_AsSS	reference	bacteria	AsSS	AsSS
ref_bacteria_CvSS	reference	bacteria	CvSS	CvSS
ref_bacteria_MicA	reference	bacteria	MicA	MicA
ref_coral_DgTC-1	reference	coral	DgTC-1	DgTC-1
ref_coral_GvTC-3	reference	coral	GvTC-3	GvTC-3
ref_coral_gGvTC-1	reference	coral	gGvTC-1	gGvTC-1
ref_coral_PbTC-2	reference	coral	PbTC-2	PbTC-2
ref_coral_PcTC-4	reference	coral	PcTC-4	PcTC-4
ref_coral_TspTC-1	reference	coral	TspTC-1	TspTC-1
ref_coral_TspTC-2	reference	coral	TspTC-2	TspTC-2
ref_coral_TspTC-10	reference	coral	TspTC-10	TspTC-10
ref_coral_EfTC-1	reference	coral	EfTC-1	EfTC-1
ref_coral_EcTC-1k	reference	coral	EcTC-1k	EcTC-1k
ref_coral_EcTC-1l	reference	coral	EcTC-1l	EcTC-1l
ref_coral_EcTC-1f	reference	coral	EcTC-1f	EcTC-1f
ref_coral_EcTC-1j	reference	coral	EcTC-1j	EcTC-1j
ref_coral_PkuTC-7	reference	coral	PkuTC-7	PkuTC-7
ref_coral_PkuTC-5	reference	coral	PkuTC-5	PkuTC-5
ref_coral_PkuTC-6	reference	coral	PkuTC-6	PkuTC-6
ref_coral_PkuTC-10	reference	coral	PkuTC-10	PkuTC-10
ref_coral_PkuTC-9	reference	coral	PkuTC-9	PkuTC-9
ref_coral_PkuTC-4	reference	coral	PkuTC-4	PkuTC-4
ref_coral_S_PkTC-1	reference	coral	S_PkTC-1	S_PkTC-1 A new protein sequence entered manually
ref_coral_PkuTC-8	reference	coral	PkuTC-8	PkuTC-8
ref_coral_PkuTC-3	reference	coral	PkuTC-3	PkuTC-3
ref_coral_PhoTC-1	reference	coral	PhoTC-1	PhoTC-1
ref_coral_EcTC-1b	reference	coral	EcTC-1b	EcTC-1b
ref_coral_EcTC-1a	reference	coral	EcTC-1a	EcTC-1a
ref_coral_EcTC-1c	reference	coral	EcTC-1c	EcTC-1c
ref_coral_EcTC-1e	reference	coral	EcTC-1e	EcTC-1e
ref_coral_EcTC-1h	reference	coral	EcTC-1h	EcTC-1h
ref_coral_EcTC-1i	reference	coral	EcTC-1i	EcTC-1i
ref_coral_EcTC-1d	reference	coral	EcTC-1d	EcTC-1d
ref_coral_EcTC-1g	reference	coral	EcTC-1g	EcTC-1g
ref_coral_McTC-1	reference	coral	McTC-1	McTC-1
ref_coral_PkuTC-2	reference	coral	PkuTC-2	PkuTC-2
ref_coral_PhoTC-2	reference	coral	PhoTC-2	PhoTC-2
ref_coral_S_PkTC-2	reference	coral	S_PkTC-2	S_PkTC-2 A new protein sequence entered manually
ref_coral_PkuTC-1	reference	coral	PkuTC-1	PkuTC-1
ref_coral_S_PsTC-1	reference	coral	S_PsTC-1	S_PsTC-1 A new protein sequence entered manually
