sequence_id	source	candidate_group	embedding_group	embedding_method	axis1_label	axis2_label	axis3_label	axis1	axis2	axis3	pc1	pc2	pc3
CnsA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.222478	0.0	4.599785	17.222478	0.0	4.599785
LnsA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.378556	0.0	3.689812	17.378556	0.0	3.689812
SCO5222	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.371552	0.0	3.86329	17.371552	0.0	3.86329
NS1	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.440431	0.0	5.243955	17.440431	0.0	5.243955
NP1	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.454412	0.0	5.526242	17.454412	0.0	5.526242
Sav76	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.173694	0.0	4.348906	17.173694	0.0	4.348906
SSCG_02150	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.368698	0.0	4.158382	17.368698	0.0	4.158382
SSCG_03688	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	16.833756	0.0	3.661036	16.833756	0.0	3.661036
SC1	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.410339	0.0	4.656126	17.410339	0.0	4.656126
SC2	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	16.976587	0.0	3.002088	16.976587	0.0	3.002088
GcoA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.397859	0.0	4.152196	17.397859	0.0	4.152196
GecA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	16.928125	0.0	5.283597	16.928125	0.0	5.283597
HcS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	16.760998	0.0	4.063658	16.760998	0.0	4.063658
SdS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.063542	0.0	3.904793	17.063542	0.0	3.904793
CorvolA_synthase	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.369771	0.0	3.784329	17.369771	0.0	3.784329
GeoA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.414961	0.0	4.618921	17.414961	0.0	4.618921
SsDMS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.159795	0.0	1.714216	17.159795	0.0	1.714216
ScDMS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.15425	0.0	1.698556	17.15425	0.0	1.698556
CryA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.19508	0.0	4.326235	17.19508	0.0	4.326235
CavC	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.149766	0.0	1.60825	17.149766	0.0	1.60825
MorT	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.0641	0.0	3.90929	17.0641	0.0	3.90929
NetT	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.408298	0.0	4.405393	17.408298	0.0	4.405393
EurT	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	16.621423	0.0	2.486739	16.621423	0.0	2.486739
ArgT	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	16.698208	0.0	2.745334	16.698208	0.0	2.745334
PtmT2	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.109686	0.0	1.625595	17.109686	0.0	1.625595
PtmT3	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.208504	0.0	1.538421	17.208504	0.0	1.538421
CotB2	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.188694	0.0	1.596989	17.188694	0.0	1.596989
Sclav_p0765	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.037223	0.0	3.598767	17.037223	0.0	3.598767
Sclav_p1169	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.314742	0.0	3.429103	17.314742	0.0	3.429103
Stsu_20912	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	17.337506	0.0	3.366942	17.337506	0.0	3.366942
Nd90_0354	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	16.636904	0.0	3.462583	16.636904	0.0	3.462583
Slt18_1078	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	16.682276	0.0	3.232741	16.682276	0.0	3.232741
