sequence_id	source	candidate_group	embedding_group	embedding_method	axis1_label	axis2_label	axis3_label	axis1	axis2	axis3	pc1	pc2	pc3
CnsA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.910975	3.192002	7.74676	-7.910975	3.192002	7.74676
LnsA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-8.029631	2.137786	7.438332	-8.029631	2.137786	7.438332
SCO5222	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-8.023677	2.328032	7.189923	-8.023677	2.328032	7.189923
NS1	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-8.108871	3.950608	6.581274	-8.108871	3.950608	6.581274
NP1	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-8.125179	4.282129	6.521301	-8.125179	4.282129	6.521301
Sav76	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.860661	2.913776	7.554282	-7.860661	2.913776	7.554282
SSCG_02150	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-8.029242	2.666777	6.348438	-8.029242	2.666777	6.348438
SSCG_03688	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.54102	2.105837	7.431223	-7.54102	2.105837	7.431223
SC1	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-8.073212	3.267093	6.590309	-8.073212	3.267093	6.590309
SC2	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.677598	1.288047	7.690157	-7.677598	1.288047	7.690157
GcoA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-8.059504	2.642865	7.524333	-8.059504	2.642865	7.524333
GecA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.65695	4.01057	6.42727	-7.65695	4.01057	6.42727
HcS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.499904	2.542656	7.283021	-7.499904	2.542656	7.283021
SdS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.753632	2.391585	7.629981	-7.753632	2.391585	7.629981
CorvolA_synthase	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-8.028767	2.219363	7.104624	-8.028767	2.219363	7.104624
GeoA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-8.078808	3.206373	7.045913	-8.078808	3.206373	7.045913
SsDMS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.785963	-0.251275	5.89523	-7.785963	-0.251275	5.89523
ScDMS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.780969	-0.272117	5.751965	-7.780969	-0.272117	5.751965
CryA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.88223	2.868212	6.576009	-7.88223	2.868212	6.576009
CavC	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.782233	-0.385962	5.511055	-7.782233	-0.385962	5.511055
MorT	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.761438	2.364914	7.343232	-7.761438	2.364914	7.343232
NetT	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-8.066217	2.976092	7.086673	-8.066217	2.976092	7.086673
EurT	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.347975	0.698956	6.593897	-7.347975	0.698956	6.593897
ArgT	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.423992	1.001894	6.849475	-7.423992	1.001894	6.849475
