sequence_id	reference_id	match_type	coverage	length
all_tps|SRR17260582_NODE_20047_length_1985_cov_320.892782_g4313_i4_2	S_CdTC-1	near_duplicate	320.892782	391
all_tps|SRR17260582_NODE_15328_length_2385_cov_286.957612_g4313_i3_1	S_CdTC-1	near_duplicate	286.957612	411
all_tps|SRR17260582_NODE_14615_length_2455_cov_275.961377_g4313_i2_1	S_CdTC-1	near_duplicate	275.961377	411
all_tps|SRR17260582_NODE_8892_length_3186_cov_217.143913_g4313_i0_3	S_CdTC-1	near_duplicate	217.143913	411
all_tps|SRR15783032_NODE_16784_length_2455_cov_148.531066_g11155_i0_1	ErycarTC-5	near_duplicate	148.531066	414
all_tps|SRR15421816_NODE_41117_length_2104_cov_130.783455_g13938_i0_2	S_RsTC-1	near_duplicate	130.783455	411
all_tps|ERR3026435_NODE_12514_length_1565_cov_109.590495_g9996_i0_1	S_TmTC-1-cembreneA	near_duplicate	109.590495	415
all_tps|ERR3026435_NODE_12514_length_1565_cov_109.590495_g9996_i0_1	TmTC-3	near_duplicate	109.590495	415
all_tps|ERR3026435_NODE_13215_length_1518_cov_107.329080_g9996_i1_1	S_TmTC-1-cembreneA	near_duplicate	107.32908	414
all_tps|ERR3026435_NODE_13215_length_1518_cov_107.329080_g9996_i1_1	TmTC-3	near_duplicate	107.32908	414
all_tps|SRR15421486_NODE_27823_length_1922_cov_103.642285_g12622_i0_1	S_PsTC-2	exact	103.642285	414
all_tps|SRR15421486_NODE_27823_length_1922_cov_103.642285_g12622_i0_1	CsTC-2	near_duplicate	103.642285	414
all_tps|SRR17260582_NODE_11876_length_2767_cov_70.864143_g753_i11_1	S_CdTC-3	exact	70.864143	382
all_tps|SRR17260582_NODE_10978_length_2882_cov_67.509434_g753_i6_1	S_CdTC-3	exact	67.509434	382
all_tps|SRR13068648_NODE_5499_length_3587_cov_61.901639_g3097_i0_1	PkuTC-2	near_duplicate	61.901639	412
all_tps|SRR13068648_NODE_5499_length_3587_cov_61.901639_g3097_i0_1	PhoTC-2	near_duplicate	61.901639	412
all_tps|SRR13068648_NODE_5499_length_3587_cov_61.901639_g3097_i0_1	S_PkTC-2	near_duplicate	61.901639	412
all_tps|SRR13068648_NODE_5499_length_3587_cov_61.901639_g3097_i0_1	PkuTC-1	exact	61.901639	412
all_tps|SRR15783032_NODE_22018_length_2147_cov_59.377049_g14831_i0_1	ErycarTC-4	near_duplicate	59.377049	409
all_tps|SRR15421489_NODE_21571_length_2301_cov_55.607904_g7986_i0_1	S_ClTC-1	near_duplicate	55.607904	418
all_tps|SRR15421489_NODE_21571_length_2301_cov_55.607904_g7986_i0_1	ClTC-2	exact	55.607904	418
all_tps|SRR13068651_NODE_2592_length_5121_cov_47.085371_g922_i1_3	PkuTC-2	near_duplicate	47.085371	412
all_tps|SRR13068651_NODE_2592_length_5121_cov_47.085371_g922_i1_3	PhoTC-2	exact	47.085371	412
all_tps|SRR13068651_NODE_2592_length_5121_cov_47.085371_g922_i1_3	S_PkTC-2	near_duplicate	47.085371	412
all_tps|SRR13068651_NODE_2592_length_5121_cov_47.085371_g922_i1_3	PkuTC-1	near_duplicate	47.085371	412
all_tps|ERR4669811_NODE_41483_length_2142_cov_39.915910_g18335_i0_1	S_PeTC-1	near_duplicate	39.91591	411
all_tps|ERR4669811_NODE_41483_length_2142_cov_39.915910_g18335_i0_1	AeTC-2	exact	39.91591	411
all_tps|SRR13068648_NODE_16470_length_1957_cov_34.993711_g3097_i1_1	PkuTC-2	near_duplicate	34.993711	412
all_tps|SRR13068648_NODE_16470_length_1957_cov_34.993711_g3097_i1_1	PhoTC-2	near_duplicate	34.993711	412
all_tps|SRR13068648_NODE_16470_length_1957_cov_34.993711_g3097_i1_1	S_PkTC-2	near_duplicate	34.993711	412
all_tps|SRR13068648_NODE_16470_length_1957_cov_34.993711_g3097_i1_1	PkuTC-1	exact	34.993711	412
all_tps|SRR17260582_NODE_21309_length_1893_cov_32.774725_g9463_i0_1	S_CdTC-2	exact	32.774725	412
all_tps|SRR17260582_NODE_21309_length_1893_cov_32.774725_g9463_i0_1	CdTC-3	exact	32.774725	412
all_tps|SRR13068648_NODE_4158_length_4077_cov_31.377358_g101_i2_1	PkuTC-9	near_duplicate	31.377358	417
all_tps|SRR13068648_NODE_4158_length_4077_cov_31.377358_g101_i2_1	PkuTC-4	near_duplicate	31.377358	417
all_tps|SRR13068648_NODE_4158_length_4077_cov_31.377358_g101_i2_1	S_PkTC-1	near_duplicate	31.377358	417
all_tps|SRR13068648_NODE_4158_length_4077_cov_31.377358_g101_i2_1	PkuTC-8	exact	31.377358	417
all_tps|SRR13068648_NODE_4158_length_4077_cov_31.377358_g101_i2_1	PkuTC-3	near_duplicate	31.377358	417
all_tps|SRR13068648_NODE_4158_length_4077_cov_31.377358_g101_i2_1	PhoTC-1	near_duplicate	31.377358	417
all_tps|SRR15783032_NODE_36846_length_1593_cov_28.878947_g25566_i0_1	EcTPS-6-cembreneB	near_duplicate	28.878947	397
all_tps|SRR15783032_NODE_36846_length_1593_cov_28.878947_g25566_i0_1	ErycarTC-6-cembreneB	near_duplicate	28.878947	397
all_tps|SRR13068648_NODE_2918_length_4683_cov_27.309452_g101_i1_1	PkuTC-9	near_duplicate	27.309452	417
all_tps|SRR13068648_NODE_2918_length_4683_cov_27.309452_g101_i1_1	PkuTC-4	near_duplicate	27.309452	417
all_tps|SRR13068648_NODE_2918_length_4683_cov_27.309452_g101_i1_1	S_PkTC-1	near_duplicate	27.309452	417
all_tps|SRR13068648_NODE_2918_length_4683_cov_27.309452_g101_i1_1	PkuTC-8	exact	27.309452	417
all_tps|SRR13068648_NODE_2918_length_4683_cov_27.309452_g101_i1_1	PkuTC-3	near_duplicate	27.309452	417
all_tps|SRR13068648_NODE_2918_length_4683_cov_27.309452_g101_i1_1	PhoTC-1	near_duplicate	27.309452	417
all_tps|SRR17260582_NODE_24162_length_1699_cov_25.423124_g9486_i1_1	CdTC-1a	near_duplicate	25.423124	409
all_tps|SRR17260582_NODE_24162_length_1699_cov_25.423124_g9486_i1_1	S_CdTC-4	near_duplicate	25.423124	409
all_tps|SRR17260582_NODE_24162_length_1699_cov_25.423124_g9486_i1_1	CdTC-1b	near_duplicate	25.423124	409
all_tps|SRR17260582_NODE_24162_length_1699_cov_25.423124_g9486_i1_1	CdTC-1	near_duplicate	25.423124	409
all_tps|SRR13068651_NODE_1859_length_5738_cov_24.650026_g922_i0_3	PkuTC-2	near_duplicate	24.650026	412
all_tps|SRR13068651_NODE_1859_length_5738_cov_24.650026_g922_i0_3	PhoTC-2	exact	24.650026	412
all_tps|SRR13068651_NODE_1859_length_5738_cov_24.650026_g922_i0_3	S_PkTC-2	near_duplicate	24.650026	412
all_tps|SRR13068651_NODE_1859_length_5738_cov_24.650026_g922_i0_3	PkuTC-1	near_duplicate	24.650026	412
all_tps|SRR13068651_NODE_5787_length_3695_cov_23.370817_g2590_i2_1	PkuTC-9	near_duplicate	23.370817	417
all_tps|SRR13068651_NODE_5787_length_3695_cov_23.370817_g2590_i2_1	PkuTC-4	near_duplicate	23.370817	417
all_tps|SRR13068651_NODE_5787_length_3695_cov_23.370817_g2590_i2_1	S_PkTC-1	near_duplicate	23.370817	417
all_tps|SRR13068651_NODE_5787_length_3695_cov_23.370817_g2590_i2_1	PkuTC-8	exact	23.370817	417
all_tps|SRR13068651_NODE_5787_length_3695_cov_23.370817_g2590_i2_1	PkuTC-3	near_duplicate	23.370817	417
all_tps|SRR13068651_NODE_5787_length_3695_cov_23.370817_g2590_i2_1	PhoTC-1	near_duplicate	23.370817	417
all_tps|SRR13068651_NODE_5644_length_3738_cov_23.321767_g2590_i1_1	PkuTC-9	near_duplicate	23.321767	417
all_tps|SRR13068651_NODE_5644_length_3738_cov_23.321767_g2590_i1_1	PkuTC-4	near_duplicate	23.321767	417
all_tps|SRR13068651_NODE_5644_length_3738_cov_23.321767_g2590_i1_1	S_PkTC-1	near_duplicate	23.321767	417
all_tps|SRR13068651_NODE_5644_length_3738_cov_23.321767_g2590_i1_1	PkuTC-8	exact	23.321767	417
all_tps|SRR13068651_NODE_5644_length_3738_cov_23.321767_g2590_i1_1	PkuTC-3	near_duplicate	23.321767	417
all_tps|SRR13068651_NODE_5644_length_3738_cov_23.321767_g2590_i1_1	PhoTC-1	near_duplicate	23.321767	417
all_tps|SRR13068651_NODE_5417_length_3805_cov_23.035942_g2590_i0_1	PkuTC-9	near_duplicate	23.035942	417
all_tps|SRR13068651_NODE_5417_length_3805_cov_23.035942_g2590_i0_1	PkuTC-4	near_duplicate	23.035942	417
all_tps|SRR13068651_NODE_5417_length_3805_cov_23.035942_g2590_i0_1	S_PkTC-1	near_duplicate	23.035942	417
all_tps|SRR13068651_NODE_5417_length_3805_cov_23.035942_g2590_i0_1	PkuTC-8	exact	23.035942	417
all_tps|SRR13068651_NODE_5417_length_3805_cov_23.035942_g2590_i0_1	PkuTC-3	near_duplicate	23.035942	417
all_tps|SRR13068651_NODE_5417_length_3805_cov_23.035942_g2590_i0_1	PhoTC-1	near_duplicate	23.035942	417
all_tps|ERR4669811_NODE_55110_length_1727_cov_22.428486_g26218_i0_1	TP2	near_duplicate	22.428486	420
all_tps|ERR4669811_NODE_55110_length_1727_cov_22.428486_g26218_i0_1	AeTPS	near_duplicate	22.428486	420
all_tps|ERR4669811_NODE_55110_length_1727_cov_22.428486_g26218_i0_1	AeTC-1	exact	22.428486	420
all_tps|SRR17260582_NODE_21358_length_1890_cov_21.439185_g9486_i0_1	CdTC-2-cembrene-cembreneA-cembreneC	near_duplicate	21.439185	409
all_tps|SRR13068651_NODE_3183_length_4755_cov_21.256056_g922_i3_3	PkuTC-2	near_duplicate	21.256056	412
all_tps|SRR13068651_NODE_3183_length_4755_cov_21.256056_g922_i3_3	PhoTC-2	exact	21.256056	412
all_tps|SRR13068651_NODE_3183_length_4755_cov_21.256056_g922_i3_3	S_PkTC-2	near_duplicate	21.256056	412
all_tps|SRR13068651_NODE_3183_length_4755_cov_21.256056_g922_i3_3	PkuTC-1	near_duplicate	21.256056	412
all_tps|SRR15421489_NODE_43178_length_1425_cov_20.694767_g16932_i0_1	ClTC-1	near_duplicate	20.694767	412
