sequence_id	esm_type_prediction	esm_ceess_label	esm_ceess_probability	esm_non_ceess_probability	is_ceess_candidate	esm_type_probability_sesquiterpenes	esm_type_probability_cembrene_a	esm_type_probability_cembrene_b	esm_type_probability_elisabethatriene	esm_type_probability_klysimplexin_r	esm_type_probability_xeniaphyllene	esm_type_rawscore_sesquiterpenes	esm_type_rawscore_cembrene_a	esm_type_rawscore_cembrene_b	esm_type_rawscore_elisabethatriene	esm_type_rawscore_klysimplexin_r	esm_type_rawscore_xeniaphyllene
all_tps|SRR17260582_NODE_24162_length_1699_cov_25.423124_g9486_i1_1	Sesquiterpenes	Sesquiterpenes	0.038047	0.961953	no	0.959614	0.037886	0.000161	0.000178	0.001014	0.001147	4.10411	0.872152	-4.589439	-4.486785	-2.748167	-2.625019
all_tps|SRR17260582_NODE_21358_length_1890_cov_21.439185_g9486_i0_1	Sesquiterpenes	Sesquiterpenes	0.005579	0.994421	no	0.99367	0.005234	0.000344	0.000206	0.000324	0.000222	5.017645	-0.228518	-2.950233	-3.465358	-3.012256	-3.389967
all_tps|SRR17260582_NODE_31396_length_1279_cov_199.950249_g6219_i6_1	Sesquiterpenes	Sesquiterpenes	0.003881	0.996119	no	0.961006	0.001909	0.001971	0.020083	0.000978	0.014052	3.738104	-2.483161	-2.451126	-0.130015	-3.15198	-0.487085
all_tps|ERR3026435_NODE_12514_length_1565_cov_109.590495_g9996_i0_1	Sesquiterpenes	Sesquiterpenes	0.00274	0.99726	no	0.995712	0.002469	0.000271	1.6e-05	0.001471	6e-05	5.575399	-0.424217	-2.63471	-5.458105	-0.941847	-4.133829
all_tps|SRR15421489_NODE_21571_length_2301_cov_55.607904_g7986_i0_1	Sesquiterpenes	Sesquiterpenes	0.001169	0.998831	no	0.998376	0.001085	8.4e-05	0.000212	5.8e-05	0.000185	5.688466	-1.13584	-3.694714	-2.767002	-4.070306	-2.905901
all_tps|SRR15421486_NODE_26714_length_1967_cov_25.068300_g12080_i0_2	Sesquiterpenes	Sesquiterpenes	0.000885	0.999115	no	0.998455	2.2e-05	0.000863	3.1e-05	0.000603	2.6e-05	6.140498	-4.589095	-0.913357	-4.241559	-1.271214	-4.410538
all_tps|ERR3026435_NODE_15632_length_1375_cov_67.028975_g12576_i0_1	Sesquiterpenes	Sesquiterpenes	0.000175	0.999825	no	0.99977	7.7e-05	9.8e-05	4e-06	4.2e-05	9e-06	7.733768	-1.738047	-1.498262	-4.782898	-2.337034	-3.895363
all_tps|SRR13068648_NODE_17151_length_1903_cov_21.417476_g9532_i0_1	Sesquiterpenes	Sesquiterpenes	2.1e-05	0.999979	no	0.999976	2e-05	1e-06	2e-06	0.0	0.0	10.17752	-0.625167	-4.133334	-2.80945	-6.700356	-4.469131
all_tps|SRR12876613_NODE_4686_length_1645_cov_18.020677_g4683_i0_2	Sesquiterpenes	Sesquiterpenes	1.2e-05	0.999988	no	0.999986	1.1e-05	0.0	1e-06	0.0	1e-06	10.31585	-1.067165	-4.649983	-3.168587	-6.84328	-3.648916
all_tps|SRR13068648_NODE_4158_length_4077_cov_31.377358_g101_i2_1	Sesquiterpenes	Sesquiterpenes	1.2e-05	0.999988	no	0.999987	1.2e-05	0.0	0.0	0.0	0.0	11.233047	-0.125615	-4.573877	-3.689774	-7.861011	-3.647418
all_tps|SRR15421486_NODE_27823_length_1922_cov_103.642285_g12622_i0_1	Sesquiterpenes	Sesquiterpenes	6e-06	0.999994	no	0.998986	0.0	6e-06	8e-06	0.00096	4e-05	7.841887	-8.27394	-4.175326	-3.855325	0.894162	-2.287862
