sequence_id	candidate_group	predicted_source	nearest_reference_source	nearest_distance	embedding_group	embedding_method	axis1	axis2	axis3	pc1	pc2	pc3
all_tps|SRR17260582_NODE_20047_length_1985_cov_320.892782_g4313_i4_2	candidate_non_ceess	coral	coral	0.226314	candidate_non_ceess	lda_reference_subclade_spread	15.730028	6.210679	-0.808058	15.730028	6.210679	-0.808058
all_tps|SRR17260582_NODE_15328_length_2385_cov_286.957612_g4313_i3_1	candidate_non_ceess	coral	coral	0.068313	candidate_non_ceess	lda_reference_subclade_spread	16.744787	6.174517	-0.715441	16.744787	6.174517	-0.715441
all_tps|SRR17260582_NODE_31396_length_1279_cov_199.950249_g6219_i6_1	candidate_non_ceess	coral	coral	0.281554	candidate_non_ceess	lda_reference_subclade_spread	14.369995	6.232983	-0.861137	14.369995	6.232983	-0.861137
all_tps|SRR15783032_NODE_16784_length_2455_cov_148.531066_g11155_i0_1	candidate_non_ceess	coral	coral	0.002543	candidate_non_ceess	lda_reference_subclade_spread	15.073535	5.928087	-0.881201	15.073535	5.928087	-0.881201
all_tps|SRR15421816_NODE_41117_length_2104_cov_130.783455_g13938_i0_2	candidate_non_ceess	coral	coral	0.002549	candidate_non_ceess	lda_reference_subclade_spread	17.353723	6.00041	-0.864697	17.353723	6.00041	-0.864697
all_tps|SRR15421816_NODE_55739_length_1710_cov_119.429259_g20062_i0_1	candidate_ceess	coral	coral	0.082986	candidate_ceess	lda_reference_subclade_spread	18.859068	-5.771899	0.513644	18.859068	-5.771899	0.513644
all_tps|ERR3026435_NODE_12514_length_1565_cov_109.590495_g9996_i0_1	candidate_non_ceess	coral	coral	0.002535	candidate_non_ceess	lda_reference_subclade_spread	16.512899	5.843241	-0.783369	16.512899	5.843241	-0.783369
all_tps|SRR15421486_NODE_27823_length_1922_cov_103.642285_g12622_i0_1	candidate_non_ceess	coral	coral	0.0	candidate_non_ceess	lda_reference_subclade_spread	16.418056	5.935896	-0.777831	16.418056	5.935896	-0.777831
all_tps|SRR15421486_NODE_35458_length_1649_cov_83.206875_g12622_i1_2	candidate_non_ceess	coral	coral	0.191414	candidate_non_ceess	lda_reference_subclade_spread	13.567997	5.737371	-0.807885	13.567997	5.737371	-0.807885
all_tps|SRR17260582_NODE_11876_length_2767_cov_70.864143_g753_i11_1	candidate_ceess	coral	coral	0.0	candidate_ceess	lda_reference_subclade_spread	16.914751	-5.727914	0.689698	16.914751	-5.727914	0.689698
all_tps|ERR3026435_NODE_15632_length_1375_cov_67.028975_g12576_i0_1	candidate_non_ceess	coral	coral	0.041714	candidate_non_ceess	lda_reference_subclade_spread	15.684876	5.977039	-0.633573	15.684876	5.977039	-0.633573
all_tps|SRR13068648_NODE_5499_length_3587_cov_61.901639_g3097_i0_1	candidate_non_ceess	coral	coral	0.0	candidate_non_ceess	lda_reference_subclade_spread	17.087868	5.966209	-0.592684	17.087868	5.966209	-0.592684
all_tps|SRR15783032_NODE_22018_length_2147_cov_59.377049_g14831_i0_1	candidate_non_ceess	coral	coral	0.090071	candidate_non_ceess	lda_reference_subclade_spread	14.399465	5.931313	-0.589601	14.399465	5.931313	-0.589601
all_tps|SRR15421489_NODE_21571_length_2301_cov_55.607904_g7986_i0_1	candidate_ceess	coral	coral	0.0	candidate_ceess	lda_reference_subclade_spread	19.216111	-5.521889	0.424295	19.216111	-5.521889	0.424295
all_tps|SRR15783032_NODE_15046_length_2580_cov_53.078580_g9995_i0_1	candidate_non_ceess	coral	coral	0.058659	candidate_non_ceess	lda_reference_subclade_spread	16.192055	6.594703	-0.800741	16.192055	6.594703	-0.800741
all_tps|SRR15421486_NODE_27193_length_1946_cov_45.933579_g12305_i0_1	candidate_ceess	coral	coral	0.223513	candidate_ceess	lda_reference_subclade_spread	17.452532	-5.796639	0.359179	17.452532	-5.796639	0.359179
all_tps|ERR4669811_NODE_41483_length_2142_cov_39.915910_g18335_i0_1	candidate_ceess	coral	coral	0.0	candidate_ceess	lda_reference_subclade_spread	18.142705	-5.367405	0.65366	18.142705	-5.367405	0.65366
all_tps|SRR17260582_NODE_21309_length_1893_cov_32.774725_g9463_i0_1	candidate_non_ceess	coral	coral	0.0	candidate_non_ceess	lda_reference_subclade_spread	17.416194	6.007322	-0.614564	17.416194	6.007322	-0.614564
all_tps|SRR13068648_NODE_4158_length_4077_cov_31.377358_g101_i2_1	candidate_non_ceess	coral	coral	0.0	candidate_non_ceess	lda_reference_subclade_spread	18.252499	5.922977	-0.503097	18.252499	5.922977	-0.503097
all_tps|SRR15783032_NODE_36846_length_1593_cov_28.878947_g25566_i0_1	candidate_ceess	coral	coral	0.002546	candidate_ceess	lda_reference_subclade_spread	15.22507	-5.834622	0.930642	15.22507	-5.834622	0.930642
all_tps|SRR17260582_NODE_24162_length_1699_cov_25.423124_g9486_i1_1	candidate_ceess	coral	coral	0.014475	candidate_ceess	lda_reference_subclade_spread	18.532921	-5.436665	0.248022	18.532921	-5.436665	0.248022
all_tps|SRR15421486_NODE_26714_length_1967_cov_25.068300_g12080_i0_2	candidate_non_ceess	coral	coral	0.125794	candidate_non_ceess	lda_reference_subclade_spread	16.408376	5.924426	-0.367187	16.408376	5.924426	-0.367187
all_tps|ERR4669811_NODE_55110_length_1727_cov_22.428486_g26218_i0_1	candidate_non_ceess	coral	coral	0.0	candidate_non_ceess	lda_reference_subclade_spread	17.899597	5.955476	-0.78163	17.899597	5.955476	-0.78163
all_tps|SRR17260582_NODE_21358_length_1890_cov_21.439185_g9486_i0_1	candidate_ceess	coral	coral	0.027125	candidate_ceess	lda_reference_subclade_spread	18.625016	-5.589123	0.394866	18.625016	-5.589123	0.394866
all_tps|SRR13068648_NODE_17151_length_1903_cov_21.417476_g9532_i0_1	candidate_non_ceess	coral	coral	0.028293	candidate_non_ceess	lda_reference_subclade_spread	18.152619	5.867123	-0.445345	18.152619	5.867123	-0.445345
all_tps|SRR15421489_NODE_43178_length_1425_cov_20.694767_g16932_i0_1	candidate_non_ceess	coral	coral	0.024245	candidate_non_ceess	lda_reference_subclade_spread	16.209409	5.972449	-0.405095	16.209409	5.972449	-0.405095
all_tps|SRR15783032_NODE_29565_length_1834_cov_19.863714_g20238_i0_1	candidate_non_ceess	coral	coral	0.002579	candidate_non_ceess	lda_reference_subclade_spread	17.506853	6.104429	-0.570902	17.506853	6.104429	-0.570902
all_tps|SRR12876613_NODE_4686_length_1645_cov_18.020677_g4683_i0_2	candidate_non_ceess	coral	coral	0.045449	candidate_non_ceess	lda_reference_subclade_spread	18.221092	5.702628	-0.346144	18.221092	5.702628	-0.346144
all_tps|SRR17260582_NODE_25295_length_1625_cov_14.597938_g11165_i0_1	candidate_ceess	coral	coral	0.028216	candidate_ceess	lda_reference_subclade_spread	18.710549	-5.593128	0.348654	18.710549	-5.593128	0.348654
all_tps|ERR4669814_NODE_28423_length_2113_cov_14.561047_g14889_i0_1	candidate_non_ceess	coral	coral	0.020485	candidate_non_ceess	lda_reference_subclade_spread	17.638555	5.94959	-0.700659	17.638555	5.94959	-0.700659
all_tps|ERR4669814_NODE_2575_length_6439_cov_14.400469_g623_i2_4	candidate_non_ceess	coral	coral	0.149192	candidate_non_ceess	lda_reference_subclade_spread	17.604043	6.040531	-0.530126	17.604043	6.040531	-0.530126
all_tps|SRR12573944_NODE_9952_length_2159_cov_12.348341_g7958_i0_1	candidate_ceess	coral	coral	0.022717	candidate_ceess	lda_reference_subclade_spread	17.507797	-5.651818	0.448657	17.507797	-5.651818	0.448657
all_tps|SRR15783032_NODE_54800_length_1142_cov_12.321796_g11615_i3_1	candidate_non_ceess	coral	coral	0.279047	candidate_non_ceess	lda_reference_subclade_spread	11.564448	5.444788	-0.398904	11.564448	5.444788	-0.398904
all_tps|SRR15421489_NODE_43185_length_1425_cov_12.231105_g16935_i0_1	candidate_non_ceess	coral	coral	0.161251	candidate_non_ceess	lda_reference_subclade_spread	16.68302	5.875592	-0.282302	16.68302	5.875592	-0.282302
all_tps|ERR4669814_NODE_34617_length_1857_cov_11.884956_g18826_i0_1	candidate_ceess	coral	coral	0.010157	candidate_ceess	lda_reference_subclade_spread	17.605512	-5.505081	0.281003	17.605512	-5.505081	0.281003
all_tps|ERR3026435_NODE_11870_length_1607_cov_11.217997_g9475_i0_1	candidate_ceess	coral	coral	0.0	candidate_ceess	lda_reference_subclade_spread	18.362774	-5.748585	0.821438	18.362774	-5.748585	0.821438
