sequence_id	source	candidate_group	embedding_group	embedding_method	axis1_label	axis2_label	axis3_label	axis1	axis2	axis3	pc1	pc2	pc3
CnsA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.726077	3.158814	7.431346	-7.726077	3.158814	7.431346
LnsA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.843537	2.106753	7.126892	-7.843537	2.106753	7.126892
SCO5222	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.840221	2.296419	6.877884	-7.840221	2.296419	6.877884
NS1	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.926159	3.91386	6.263388	-7.926159	3.91386	6.263388
NP1	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.943243	4.24453	6.202276	-7.943243	4.24453	6.202276
Sav76	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.676971	2.880979	7.24004	-7.676971	2.880979	7.24004
SSCG_02150	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.84485	2.632637	6.034951	-7.84485	2.632637	6.034951
SSCG_03688	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.364502	2.075353	7.120205	-7.364502	2.075353	7.120205
SC1	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.889101	3.231886	6.274824	-7.889101	3.231886	6.274824
SC2	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.487541	1.25879	7.380836	-7.487541	1.25879	7.380836
GcoA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.872595	2.610744	7.210734	-7.872595	2.610744	7.210734
GecA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.478901	3.973244	6.109158	-7.478901	3.973244	6.109158
HcS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.316441	2.509924	6.969487	-7.316441	2.509924	6.969487
SdS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.571779	2.360365	7.317701	-7.571779	2.360365	7.317701
CorvolA_synthase	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.841093	2.187394	6.792506	-7.841093	2.187394	6.792506
GeoA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.894015	3.172147	6.730516	-7.894015	3.172147	6.730516
SsDMS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.613042	-0.277382	5.592791	-7.613042	-0.277382	5.592791
ScDMS	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.608115	-0.298426	5.449573	-7.608115	-0.298426	5.449573
CryA	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.697458	2.83368	6.261641	-7.697458	2.83368	6.261641
CavC	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.605574	-0.412881	5.208679	-7.605574	-0.412881	5.208679
MorT	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.576707	2.332982	7.030556	-7.576707	2.332982	7.030556
NetT	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.882105	2.942541	6.772318	-7.882105	2.942541	6.772318
EurT	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.16455	0.669499	6.28697	-7.16455	0.669499	6.28697
ArgT	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.237835	0.971889	6.541301	-7.237835	0.971889	6.541301
PtmT2	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.569593	-0.411192	4.310242	-7.569593	-0.411192	4.310242
PtmT3	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.668064	-0.514495	6.135942	-7.668064	-0.514495	6.135942
CotB2	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.649403	-0.431498	5.223193	-7.649403	-0.431498	5.223193
Sclav_p0765	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.546296	1.988739	6.58195	-7.546296	1.988739	6.58195
Sclav_p1169	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.777576	1.786824	6.53798	-7.777576	1.786824	6.53798
Stsu_20912	bacteria		ref:bacteria	lda_reference_subclade_spread	LD1	LD2	LD3	-7.803816	1.706114	6.531257	-7.803816	1.706114	6.531257
