sequence_id	candidate_group	predicted_source	nearest_reference_source	nearest_distance	embedding_group	embedding_method	axis1	axis2	axis3	pc1	pc2	pc3
all_tps|SRR17260582_NODE_20047_length_1985_cov_320.892782_g4313_i4_2	candidate	coral	coral	0.226314	candidate	lda_reference_subclade_spread	14.248637	1.012369	4.143402	14.248637	1.012369	4.143402
all_tps|SRR17260582_NODE_15328_length_2385_cov_286.957612_g4313_i3_1	candidate	coral	coral	0.068313	candidate	lda_reference_subclade_spread	15.256758	0.97576	4.235665	15.256758	0.97576	4.235665
all_tps|SRR17260582_NODE_31396_length_1279_cov_199.950249_g6219_i6_1	candidate	coral	coral	0.281554	candidate	lda_reference_subclade_spread	12.898509	1.035384	4.090723	12.898509	1.035384	4.090723
all_tps|SRR15783032_NODE_16784_length_2455_cov_148.531066_g11155_i0_1	candidate	coral	coral	0.002543	candidate	lda_reference_subclade_spread	13.594493	0.731127	4.071697	13.594493	0.731127	4.071697
all_tps|SRR15421816_NODE_41117_length_2104_cov_130.783455_g13938_i0_2	candidate	coral	coral	0.002549	candidate	lda_reference_subclade_spread	15.862992	0.801267	4.086568	15.862992	0.801267	4.086568
all_tps|SRR15421816_NODE_55739_length_1710_cov_119.429259_g20062_i0_1	candidate	coral	coral	0.082986	candidate	lda_reference_subclade_spread	15.807721	0.522492	4.320155	15.807721	0.522492	4.320155
all_tps|ERR3026435_NODE_12514_length_1565_cov_109.590495_g9996_i0_1	candidate	coral	coral	0.002535	candidate	lda_reference_subclade_spread	15.026831	0.645372	4.168927	15.026831	0.645372	4.168927
all_tps|SRR15421486_NODE_27823_length_1922_cov_103.642285_g12622_i0_1	candidate	coral	coral	0.0	candidate	lda_reference_subclade_spread	14.93223	0.7379	4.17423	14.93223	0.7379	4.17423
all_tps|SRR15421486_NODE_35458_length_1649_cov_83.206875_g12622_i1_2	candidate	coral	coral	0.191414	candidate	lda_reference_subclade_spread	12.10467	0.541373	4.145896	12.10467	0.541373	4.145896
all_tps|SRR17260582_NODE_11876_length_2767_cov_70.864143_g753_i11_1	candidate	coral	coral	0.0	candidate	lda_reference_subclade_spread	13.879053	0.567668	4.496779	13.879053	0.567668	4.496779
all_tps|ERR3026435_NODE_15632_length_1375_cov_67.028975_g12576_i0_1	candidate	coral	coral	0.041714	candidate	lda_reference_subclade_spread	14.203881	0.779702	4.318726	14.203881	0.779702	4.318726
all_tps|SRR13068648_NODE_5499_length_3587_cov_61.901639_g3097_i0_1	candidate	coral	coral	0.0	candidate	lda_reference_subclade_spread	15.598924	0.767832	4.35887	15.598924	0.767832	4.35887
all_tps|SRR15783032_NODE_22018_length_2147_cov_59.377049_g14831_i0_1	candidate	coral	coral	0.090071	candidate	lda_reference_subclade_spread	12.924704	0.735363	4.363675	12.924704	0.735363	4.363675
all_tps|SRR15421489_NODE_21571_length_2301_cov_55.607904_g7986_i0_1	candidate	coral	coral	0.0	candidate	lda_reference_subclade_spread	16.164699	0.771135	4.229525	16.164699	0.771135	4.229525
all_tps|SRR15783032_NODE_15046_length_2580_cov_53.078580_g9995_i0_1	candidate	coral	coral	0.058659	candidate	lda_reference_subclade_spread	14.703268	1.395592	4.149569	14.703268	1.395592	4.149569
all_tps|SRR15421486_NODE_27193_length_1946_cov_45.933579_g12305_i0_1	candidate	coral	coral	0.223513	candidate	lda_reference_subclade_spread	14.413944	0.498073	4.166121	14.413944	0.498073	4.166121
all_tps|ERR4669811_NODE_41483_length_2142_cov_39.915910_g18335_i0_1	candidate	coral	coral	0.0	candidate	lda_reference_subclade_spread	15.09689	0.92653	4.459092	15.09689	0.92653	4.459092
all_tps|SRR17260582_NODE_21309_length_1893_cov_32.774725_g9463_i0_1	candidate	coral	coral	0.0	candidate	lda_reference_subclade_spread	15.92595	0.808497	4.336521	15.92595	0.808497	4.336521
all_tps|SRR13068648_NODE_4158_length_4077_cov_31.377358_g101_i2_1	candidate	coral	coral	0.0	candidate	lda_reference_subclade_spread	16.757437	0.72387	4.447924	16.757437	0.72387	4.447924
all_tps|SRR15783032_NODE_36846_length_1593_cov_28.878947_g25566_i0_1	candidate	coral	coral	0.002546	candidate	lda_reference_subclade_spread	12.197503	0.46325	4.739205	12.197503	0.46325	4.739205
all_tps|SRR17260582_NODE_24162_length_1699_cov_25.423124_g9486_i1_1	candidate	coral	coral	0.014475	candidate	lda_reference_subclade_spread	15.484953	0.856398	4.053395	15.484953	0.856398	4.053395
all_tps|SRR15421486_NODE_26714_length_1967_cov_25.068300_g12080_i0_2	candidate	coral	coral	0.125794	candidate	lda_reference_subclade_spread	14.92305	0.727155	4.584951	14.92305	0.727155	4.584951
all_tps|ERR4669811_NODE_55110_length_1727_cov_22.428486_g26218_i0_1	candidate	coral	coral	0.0	candidate	lda_reference_subclade_spread	16.405583	0.756185	4.169512	16.405583	0.756185	4.169512
all_tps|SRR17260582_NODE_21358_length_1890_cov_21.439185_g9486_i0_1	candidate	coral	coral	0.027125	candidate	lda_reference_subclade_spread	15.577337	0.704444	4.200661	15.577337	0.704444	4.200661
