sequence_id	candidate_group	predicted_source	nearest_reference_source	nearest_distance	embedding_group	embedding_method	axis1	axis2	axis3	pc1	pc2	pc3
all_tps|SRR17260582_NODE_20047_length_1985_cov_320.892782_g4313_i4_2	candidate_non_ceess	coral	coral	0.281393	candidate_non_ceess	lda_reference_subclade_spread	-33.886366	-0.0	3.504377	-33.886366	-0.0	3.504377
all_tps|SRR17260582_NODE_15328_length_2385_cov_286.957612_g4313_i3_1	candidate_non_ceess	coral	coral	0.073498	candidate_non_ceess	lda_reference_subclade_spread	-35.043343	-0.0	3.469742	-35.043343	-0.0	3.469742
all_tps|SRR17260582_NODE_31396_length_1279_cov_199.950249_g6219_i6_1	candidate_non_ceess	coral	coral	0.327991	candidate_non_ceess	lda_reference_subclade_spread	-32.338458	-0.0	3.539173	-32.338458	-0.0	3.539173
all_tps|SRR15783032_NODE_16784_length_2455_cov_148.531066_g11155_i0_1	candidate_non_ceess	coral	coral	0.002545	candidate_non_ceess	lda_reference_subclade_spread	-33.129575	-0.0	3.275679	-33.129575	-0.0	3.275679
all_tps|SRR15421816_NODE_41117_length_2104_cov_130.783455_g13938_i0_2	candidate_non_ceess	coral	coral	0.00255	candidate_non_ceess	lda_reference_subclade_spread	-35.738106	-0.0	3.32626	-35.738106	-0.0	3.32626
all_tps|SRR15421816_NODE_55739_length_1710_cov_119.429259_g20062_i0_1	candidate_non_ceess	coral	coral	0.083022	candidate_non_ceess	lda_reference_subclade_spread	-35.668642	-0.0	3.094002	-35.668642	-0.0	3.094002
all_tps|ERR3026435_NODE_12514_length_1565_cov_109.590495_g9996_i0_1	candidate_non_ceess	coral	coral	0.002536	candidate_non_ceess	lda_reference_subclade_spread	-34.77479	-0.0	3.199755	-34.77479	-0.0	3.199755
all_tps|SRR15421486_NODE_27823_length_1922_cov_103.642285_g12622_i0_1	candidate_non_ceess	coral	coral	0.0	candidate_non_ceess	lda_reference_subclade_spread	-34.667239	-0.0	3.276001	-34.667239	-0.0	3.276001
all_tps|SRR15421486_NODE_35458_length_1649_cov_83.206875_g12622_i1_2	candidate_non_ceess	coral	coral	0.196475	candidate_non_ceess	lda_reference_subclade_spread	-31.420271	-0.0	3.125449	-31.420271	-0.0	3.125449
all_tps|SRR17260582_NODE_11876_length_2767_cov_70.864143_g753_i11_1	candidate_non_ceess	coral	coral	0.0	candidate_non_ceess	lda_reference_subclade_spread	-33.456504	-0.0	3.13648	-33.456504	-0.0	3.13648
